k,sim_true,sim_false
2,0.9980231115314758,0.610953589062913
5,0.9876338160593956,0.03432454947150544
10,0.9803965498428748,0.002175635111733776
20,0.9647721597710703,0.0
40,0.9334522819982718,0.0
60,0.9021324042254735,0.0
120,0.8091880864905127,0.0
